"","Territorial Authority","Age","Population","At least partially vaccinated","Fully vaccinated","Eligible for booster","Booster recieved","Partially vaccinated uptake","Fully vaccinated uptake","Booster uptake"
"66","New Plymouth District","5-11",8373,"4,034","2,089",NA,NA,"48%","25%",NA
"67","Opotiki District","12+",7121,"6,730","6,452",6095,NA,"95%","91%","63%"
"68","Opotiki District","5-11",967,"254","78",NA,NA,"26%","8%",NA
"69","Otorohanga District","12+",7960,"7,406","7,263",6797,NA,"93%","91%","58%"
"70","Otorohanga District","5-11",1086,"343","142",NA,NA,"32%","13%",NA
"71","Palmerston North City","12+",70520,"Masked","Masked",65608,NA,">95%",">95%","73%"
"72","Palmerston North City","5-11",8374,"4,888","2,676",NA,NA,"58%","32%",NA
"73","Porirua City","12+",47708,"Masked","Masked",43152,NA,">95%",">95%","72%"
"74","Porirua City","5-11",6751,"3,921","1,904",NA,NA,"58%","28%",NA
"75","Queenstown-Lakes District","12+",35833,"Masked","Masked",37024,NA,">95%",">95%","63%"
"76","Queenstown-Lakes District","5-11",3430,"2,150","1,097",NA,NA,"63%","32%",NA
"77","Rangitikei District","12+",12699,"11,850","11,667",11049,NA,"93%","92%","70%"
"78","Rangitikei District","5-11",1491,"687","292",NA,NA,"46%","20%",NA
"79","Rotorua District","12+",58081,"Masked","54,434",50935,NA,">95%","94%","66%"
"80","Rotorua District","5-11",7718,"3,323","1,405",NA,NA,"43%","18%",NA
"81","Ruapehu District","12+",9936,"8,858","8,596",8113,NA,"89%","87%","64%"
"82","Ruapehu District","5-11",1366,"425","177",NA,NA,"31%","13%",NA
"83","Selwyn District","12+",52972,"Masked","Masked",54168,NA,">95%",">95%","75%"
"84","Selwyn District","5-11",6904,"5,087","2,943",NA,NA,"74%","43%",NA
"85","South Taranaki District","12+",20386,"Masked","Masked",19157,NA,">95%",">95%","65%"
"86","South Taranaki District","5-11",2692,"1,192","569",NA,NA,"44%","21%",NA
"87","South Waikato District","12+",19628,"18,134","17,734",16656,NA,"92%","90%","60%"
"88","South Waikato District","5-11",2626,"969","368",NA,NA,"37%","14%",NA
"89","South Wairarapa District","12+",9581,"Masked","Masked",8930,NA,">95%",">95%","75%"
"90","South Wairarapa District","5-11",997,"568","270",NA,NA,"57%","27%",NA
"91","Southland District","12+",25064,"23,379","23,057",21680,NA,"93%","92%","67%"
"92","Southland District","5-11",3087,"1,369","644",NA,NA,"44%","21%",NA
"93","Stratford District","12+",7475,"Masked","7,055",6632,NA,">95%","94%","66%"
"94","Stratford District","5-11",993,"487","236",NA,NA,"49%","24%",NA
"95","Tararua District","12+",15002,"14,014","13,756",12932,NA,"93%","92%","67%"
"96","Tararua District","5-11",1897,"769","328",NA,NA,"41%","17%",NA
"97","Tasman District","12+",45608,"Masked","Masked",41705,NA,">95%",">95%","71%"
"98","Tasman District","5-11",4679,"2,232","1,153",NA,NA,"48%","25%",NA
